,Jornada,MetaEquipo,GF,GA,xG,xGA,game_counter,is_home_game,is_away_game,is_win,is_loss,is_draw,is_win_home,is_loss_home,is_draw_home,is_win_away,is_loss_away,is_draw_away,is_over,is_AA,is_over_home,is_AA_home,is_over_away,is_AA_away,is_win_norm,is_loss_norm,is_draw_norm,is_over_norm,is_AA_norm,is_win_home_norm,is_loss_home_norm,is_draw_home_norm,is_over_home_norm,is_AA_home_norm,is_win_away_norm,is_loss_away_norm,is_draw_away_norm,is_over_away_norm,is_AA_away_norm
33,2.0,Tijuana,0.8461538461538461,1.3076923076923077,0.5692307692307692,0.7,13,6,7,4,7,2,2,3,1,2,4,1,5,4,3,2,2,2,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.3076923076923077,0.3333333333333333,0.5,0.16666666666666666,0.5,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857
34,2.0,Toluca,2.0,1.5384615384615385,1.0384615384615385,0.8384615384615385,13,7,6,8,4,1,6,0,1,2,4,0,11,11,7,7,4,4,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.8461538461538461,0.8461538461538461,0.8571428571428571,0.0,0.14285714285714285,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
35,2.0,UANL,1.3846153846153846,1.1538461538461537,0.8692307692307693,0.6384615384615385,13,6,7,5,3,5,3,1,2,2,2,3,6,7,3,3,3,4,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714
36,3.0,America,1.6153846153846154,1.3076923076923077,1.0307692307692309,0.7769230769230769,13,8,5,5,3,5,3,2,3,2,1,2,8,8,4,5,4,3,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.375,0.25,0.375,0.5,0.625,0.4,0.2,0.4,0.8,0.6
37,3.0,Atlas,1.3076923076923077,1.6923076923076923,0.5769230769230769,0.5615384615384615,13,6,7,4,5,4,2,3,1,2,2,3,8,7,6,4,2,3,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.6153846153846154,0.5384615384615384,0.3333333333333333,0.5,0.16666666666666666,1.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855
38,3.0,Atletico,1.6,1.4,1.16,1.6,5,3,2,2,3,0,1,2,0,1,1,0,3,3,1,1,2,2,0.4,0.6,0.0,0.6,0.6,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,1.0,1.0
39,3.0,Cruz_Azul,1.2307692307692308,1.3846153846153846,0.5076923076923077,0.5076923076923077,13,4,9,3,4,6,1,1,2,2,3,4,7,9,2,2,5,7,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.6923076923076923,0.25,0.25,0.5,0.5,0.5,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.7777777777777778
40,3.0,FC_Juarez,1.8,1.8,1.64,1.26,5,1,4,2,1,2,0,0,1,2,1,1,3,4,0,1,3,3,0.4,0.2,0.4,0.6,0.8,0.0,0.0,1.0,0.0,1.0,0.5,0.25,0.25,0.75,0.75
41,3.0,Guadalajara,1.3076923076923077,1.5384615384615385,0.7384615384615384,0.6846153846153846,13,8,5,3,4,6,2,2,4,1,2,2,7,9,3,5,4,4,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.6923076923076923,0.25,0.25,0.5,0.375,0.625,0.2,0.4,0.4,0.8,0.8
42,3.0,Leon,0.7692307692307693,1.0,0.7153846153846154,0.7615384615384616,13,5,8,3,5,5,2,2,1,1,3,4,4,6,3,3,1,3,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.46153846153846156,0.4,0.4,0.2,0.6,0.6,0.125,0.375,0.5,0.125,0.375
43,3.0,Mazatlan,1.0,3.0,0.9400000000000001,2.46,5,2,3,0,3,2,0,1,1,0,2,1,3,3,1,1,2,2,0.0,0.6,0.4,0.6,0.6,0.0,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
44,3.0,Monterrey,2.230769230769231,1.0769230769230769,0.9692307692307692,0.5461538461538462,13,7,6,9,0,4,5,0,2,4,0,2,9,10,5,6,4,4,0.6923076923076923,0.0,0.3076923076923077,0.6923076923076923,0.7692307692307693,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
45,3.0,Necaxa,1.4545454545454546,1.3636363636363635,0.9272727272727272,0.7181818181818181,11,6,5,4,5,2,2,2,2,2,3,0,6,4,4,3,2,1,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.4,0.6,0.0,0.4,0.2
46,3.0,Pachuca,1.2307692307692308,1.6923076923076923,0.6307692307692307,0.6384615384615385,13,8,5,3,7,3,2,3,3,1,4,0,8,8,4,5,4,3,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.6153846153846154,0.6153846153846154,0.25,0.375,0.375,0.5,0.625,0.2,0.8,0.0,0.8,0.6
47,3.0,Puebla,1.0,1.0769230769230769,0.5923076923076923,0.9769230769230769,13,6,7,5,4,4,3,0,3,2,4,1,4,5,1,3,3,2,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.5,0.0,0.5,0.16666666666666666,0.5,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.2857142857142857
48,3.0,Pumas_UNAM,1.0,1.0769230769230769,0.5923076923076923,0.7076923076923077,13,8,5,4,6,3,3,3,2,1,3,1,5,6,3,3,2,3,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.375,0.375,0.25,0.375,0.375,0.2,0.6,0.2,0.4,0.6
49,3.0,Queretaro,1.0,1.4615384615384615,0.5846153846153845,0.8769230769230769,13,7,6,1,6,6,0,4,3,1,2,3,5,9,4,5,1,4,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.6923076923076923,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666
50,3.0,Santos_Laguna,1.3076923076923077,1.0769230769230769,0.5692307692307692,0.9307692307692308,13,7,6,5,3,5,2,2,3,3,1,2,5,9,2,4,3,5,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.6923076923076923,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334
51,3.0,Tijuana,1.0,1.1538461538461537,0.47692307692307695,0.7692307692307693,13,7,6,5,4,4,2,2,3,3,2,1,5,7,2,4,3,3,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5,0.3333333333333333,0.16666666666666666,0.5,0.5
52,3.0,Toluca,1.3076923076923077,1.0,0.7615384615384616,0.6230769230769231,13,6,7,6,4,3,2,2,2,4,2,1,5,6,2,3,3,3,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855
53,3.0,UANL,1.3846153846153846,0.8461538461538461,0.49230769230769234,0.47692307692307695,13,7,6,6,3,4,4,1,2,2,2,2,5,7,2,4,3,3,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5
54,4.0,America,1.8461538461538463,0.7692307692307693,1.0538461538461539,0.33076923076923076,13,7,6,10,3,0,6,1,0,4,2,0,5,2,4,1,1,1,0.7692307692307693,0.23076923076923078,0.0,0.38461538461538464,0.15384615384615385,0.8571428571428571,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
55,4.0,Atlas,0.6153846153846154,1.6153846153846154,0.39230769230769236,0.7769230769230769,13,7,6,1,8,4,1,4,2,0,4,2,5,6,3,4,2,2,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
56,4.0,Atletico,1.2,1.2,1.56,1.7,5,1,4,2,1,2,0,1,0,2,0,2,2,3,0,0,2,3,0.4,0.2,0.4,0.4,0.6,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.75
57,4.0,Cruz_Azul,1.3076923076923077,1.1538461538461537,0.7846153846153846,0.7692307692307693,13,8,5,4,4,5,3,2,3,1,2,2,6,7,5,4,1,3,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.375,0.25,0.375,0.625,0.5,0.2,0.4,0.4,0.2,0.6
58,4.0,FC_Juarez,0.8,1.6,1.3800000000000001,0.9600000000000002,5,4,1,0,3,2,0,2,2,0,1,0,2,4,2,4,0,0,0.0,0.6,0.4,0.4,0.8,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0
59,4.0,Guadalajara,0.7692307692307693,1.0769230769230769,0.6538461538461539,0.6,13,5,8,3,6,4,0,3,2,3,3,2,5,6,2,2,3,4,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.0,0.6,0.4,0.4,0.4,0.375,0.375,0.25,0.375,0.5
60,4.0,Leon,1.3846153846153846,0.7692307692307693,1.0692307692307692,0.6230769230769231,13,8,5,7,4,2,4,4,0,3,0,2,7,1,5,1,2,0,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.5384615384615384,0.07692307692307693,0.5,0.5,0.0,0.625,0.125,0.6,0.0,0.4,0.4,0.0
61,4.0,Mazatlan,1.2,1.8,1.6,1.52,5,3,2,1,3,1,1,1,1,0,2,0,3,3,1,2,2,1,0.2,0.6,0.2,0.6,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,1.0,0.5
62,4.0,Monterrey,1.6923076923076923,1.3076923076923077,0.8153846153846154,0.7,13,6,7,6,5,2,3,1,2,3,4,0,10,8,4,5,6,3,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.7692307692307693,0.6153846153846154,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5714285714285714,0.0,0.8571428571428571,0.42857142857142855
63,4.0,Necaxa,0.9090909090909091,1.5454545454545454,0.7363636363636363,1.0363636363636364,11,5,6,2,6,3,1,2,2,1,4,1,6,5,3,2,3,3,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.5454545454545454,0.45454545454545453,0.2,0.4,0.4,0.6,0.4,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5
64,4.0,Pachuca,1.6153846153846154,1.0769230769230769,0.8923076923076925,0.6846153846153846,13,6,7,6,3,4,5,0,1,1,3,3,7,8,3,2,4,6,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.5384615384615384,0.6153846153846154,0.8333333333333334,0.0,0.16666666666666666,0.5,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.8571428571428571
65,4.0,Puebla,1.0,1.6153846153846154,0.7076923076923076,1.176923076923077,13,6,7,1,7,5,0,4,2,1,3,3,7,9,3,4,4,5,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.6923076923076923,0.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143
66,4.0,Pumas_UNAM,1.1538461538461537,0.7692307692307693,0.7076923076923076,0.8615384615384615,13,6,7,3,3,7,3,0,3,0,3,4,3,5,2,3,1,2,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.38461538461538464,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857
67,4.0,Queretaro,0.9230769230769231,1.7692307692307692,0.7307692307692307,1.0692307692307692,13,6,7,3,6,4,2,3,1,1,3,3,8,6,5,3,3,3,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.6153846153846154,0.46153846153846156,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.5,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
68,4.0,Santos_Laguna,1.4615384615384615,1.6923076923076923,0.5846153846153845,0.8999999999999999,13,5,8,2,5,6,1,1,3,1,4,3,9,10,2,3,7,7,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.6923076923076923,0.7692307692307693,0.2,0.2,0.6,0.4,0.6,0.125,0.5,0.375,0.875,0.875
69,4.0,Tijuana,1.3076923076923077,0.7692307692307693,0.8,0.5461538461538461,13,7,6,6,3,4,4,1,2,2,2,2,3,6,1,2,2,4,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
