,Temporada,Jornada,SeasonStage,TotalGoals,is_win,is_draw,is_loss,is_home_game,is_away_game,game_counter,is_over,is_AA,is_win_home,is_draw_home,is_loss_home,is_win_away,is_draw_away,is_loss_away,home_goals,away_goals,is_over_home,is_AA_home,is_over_away,is_AA_away,is_win_norm,is_loss_norm,is_draw_norm,is_over_norm,is_AA_norm,is_win_home_norm,is_loss_home_norm,is_draw_home_norm,is_over_home_norm,is_AA_home_norm,is_win_away_norm,is_loss_away_norm,is_draw_away_norm,is_over_away_norm,is_AA_away_norm
72,2017-2018,8.0,Apertura,28.0,6,5,2,5,8,13,6,7,1,2,2,5,3,0,9.0,19.0,1,2,5,5,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.2,0.4,0.4,0.2,0.4,0.625,0.0,0.375,0.625,0.625
73,2017-2018,8.0,Clausura,36.0,5,5,4,12,2,14,4,8,5,4,3,0,1,1,23.0,13.0,3,7,1,1,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.5714285714285714,0.4166666666666667,0.25,0.3333333333333333,0.25,0.5833333333333334,0.0,0.5,0.5,0.5,0.5
74,2017-2018,9.0,Apertura,34.0,8,5,1,8,6,14,6,8,6,2,0,2,3,1,20.0,14.0,4,6,2,2,0.5714285714285714,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.75,0.0,0.25,0.5,0.75,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333
75,2017-2018,9.0,Clausura,30.0,3,5,6,3,11,14,5,8,1,0,2,2,5,4,16.0,14.0,2,2,3,6,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.5454545454545454
76,2017-2018,10.0,Apertura,37.0,7,3,5,10,5,15,9,7,6,2,2,1,1,3,25.0,12.0,7,6,2,1,0.4666666666666667,0.3333333333333333,0.2,0.6,0.4666666666666667,0.6,0.2,0.2,0.7,0.6,0.2,0.6,0.2,0.4,0.2
77,2017-2018,10.0,Clausura,38.0,7,3,4,12,2,14,8,10,7,2,3,0,1,1,24.0,14.0,8,9,0,1,0.5,0.2857142857142857,0.21428571428571427,0.5714285714285714,0.7142857142857143,0.5833333333333334,0.25,0.16666666666666666,0.6666666666666666,0.75,0.0,0.5,0.5,0.0,0.5
78,2017-2018,11.0,Apertura,32.0,6,3,5,8,6,14,7,7,3,2,3,3,1,2,15.0,17.0,3,3,4,4,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.5,0.5,0.375,0.375,0.25,0.375,0.375,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666
79,2017-2018,11.0,Clausura,37.0,4,4,5,3,10,13,7,7,1,2,0,3,2,5,22.0,15.0,1,1,6,6,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.5,0.2,0.6,0.6
80,2017-2018,12.0,Apertura,39.0,1,5,6,4,8,12,8,8,1,2,1,0,3,5,24.0,15.0,3,4,5,4,0.08333333333333333,0.5,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.25,0.25,0.5,0.75,1.0,0.0,0.625,0.375,0.625,0.5
81,2017-2018,12.0,Clausura,41.0,5,4,3,8,4,12,8,9,4,3,1,1,1,2,24.0,17.0,5,6,3,3,0.4166666666666667,0.25,0.3333333333333333,0.6666666666666666,0.75,0.5,0.125,0.375,0.625,0.75,0.25,0.5,0.25,0.75,0.75
82,2017-2018,13.0,Apertura,26.0,5,3,3,6,5,11,6,6,2,3,1,3,0,2,15.0,11.0,2,3,4,3,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5,0.6,0.4,0.0,0.8,0.6
83,2017-2018,13.0,Clausura,24.0,3,5,3,4,7,11,4,7,2,2,0,1,3,3,15.0,9.0,0,2,4,5,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.5,0.0,0.5,0.0,0.5,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143
84,2017-2018,14.0,Apertura,19.0,3,3,3,3,6,9,2,5,1,1,1,2,2,2,10.0,9.0,1,2,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5
85,2017-2018,14.0,Clausura,20.0,3,5,1,6,3,9,3,5,3,2,1,0,3,0,11.0,9.0,1,3,2,2,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666
86,2017-2018,-,Apertura,8.0,0,3,2,3,2,5,1,3,0,1,2,0,2,0,3.0,5.0,1,2,0,1,0.0,0.4,0.6,0.2,0.6,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.5
87,2017-2018,-,Clausura,20.0,3,1,2,2,4,6,4,5,2,0,0,1,1,2,12.0,8.0,2,2,2,3,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.25,0.5,0.25,0.5,0.75
88,2018-2019,1.0,Apertura,25.0,4,1,4,4,5,9,5,4,3,1,0,1,0,4,18.0,7.0,2,1,3,3,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.75,0.0,0.25,0.5,0.25,0.2,0.8,0.0,0.6,0.6
89,2018-2019,1.0,Clausura,26.0,6,3,0,5,4,9,5,6,4,1,0,2,2,0,17.0,9.0,3,2,2,4,0.6666666666666666,0.0,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.8,0.0,0.2,0.6,0.4,0.5,0.0,0.5,0.5,1.0
90,2018-2019,2.0,Apertura,29.0,5,1,4,4,6,10,6,4,2,1,1,3,0,3,15.0,14.0,3,2,3,2,0.5,0.4,0.1,0.6,0.4,0.5,0.25,0.25,0.75,0.5,0.5,0.5,0.0,0.5,0.3333333333333333
91,2018-2019,2.0,Clausura,30.0,4,2,5,7,4,11,7,4,3,1,3,1,1,2,16.0,14.0,5,2,2,2,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.6363636363636364,0.36363636363636365,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.25,0.5,0.25,0.5,0.5
92,2018-2019,3.0,Apertura,30.0,5,4,2,6,5,11,7,7,3,2,1,2,2,1,15.0,15.0,4,3,3,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.4,0.2,0.4,0.6,0.8
93,2018-2019,3.0,Clausura,31.0,3,3,6,5,7,12,6,6,1,2,2,2,1,4,17.0,14.0,1,2,5,4,0.25,0.5,0.25,0.5,0.5,0.2,0.4,0.4,0.2,0.4,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.5714285714285714
94,2018-2019,4.0,Apertura,30.0,3,4,5,5,7,12,7,5,3,0,2,0,4,3,21.0,9.0,5,2,2,3,0.25,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.6,0.4,0.0,1.0,0.4,0.0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.42857142857142855
95,2018-2019,4.0,Clausura,34.0,6,2,5,8,5,13,5,6,4,2,2,2,0,3,17.0,17.0,3,5,2,1,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.5,0.25,0.25,0.375,0.625,0.4,0.6,0.0,0.4,0.2
96,2018-2019,5.0,Apertura,25.0,5,3,5,9,4,13,3,4,5,2,2,0,1,3,19.0,6.0,1,2,2,2,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.75,0.25,0.5,0.5
97,2018-2019,5.0,Clausura,38.0,5,4,5,5,9,14,7,8,2,1,2,3,3,3,20.0,18.0,3,3,4,5,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.5,0.5714285714285714,0.4,0.4,0.2,0.6,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556
98,2018-2019,6.0,Apertura,35.0,4,3,7,3,11,14,7,8,1,1,1,3,2,6,20.0,15.0,2,2,5,6,0.2857142857142857,0.5,0.21428571428571427,0.5,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.5454545454545454
99,2018-2019,6.0,Clausura,35.0,5,4,5,8,6,14,7,6,4,2,2,1,2,3,22.0,13.0,4,3,3,3,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.5,0.42857142857142855,0.5,0.25,0.25,0.5,0.375,0.16666666666666666,0.5,0.3333333333333333,0.5,0.5
100,2018-2019,7.0,Apertura,42.0,8,3,4,12,3,15,9,10,6,2,4,2,1,0,22.0,20.0,7,7,2,3,0.5333333333333333,0.26666666666666666,0.2,0.6,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0
101,2018-2019,7.0,Clausura,39.0,4,1,9,4,10,14,10,6,1,0,3,3,1,6,24.0,15.0,4,3,6,3,0.2857142857142857,0.6428571428571429,0.07142857142857142,0.7142857142857143,0.42857142857142855,0.25,0.75,0.0,1.0,0.75,0.3,0.6,0.1,0.6,0.3
102,2018-2019,8.0,Apertura,35.0,5,4,5,2,12,14,5,7,0,1,1,5,3,4,17.0,18.0,2,2,3,5,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.5,0.0,0.5,0.5,1.0,1.0,0.4166666666666667,0.3333333333333333,0.25,0.25,0.4166666666666667
